hgnc	Prediction
EIF4A3	Nucleus
EIF4B	Cytoplasm
EIF4E	Cytoplasm
EIF4E1B	Cytoplasm
EIF4E2	Nucleus
EIF4EBP1	Cytoplasm
EIF4EBP2	Nucleus
EIF4G1	Cytoplasm
EIF4G2	Cytoplasm
EIF4H	Nucleus
EIF5	Nucleus
EIF5A	Cytoplasm
EIF5A2	Cytoplasm
EIF5AL1	Cytoplasm
EIF5B	Nucleus
EIF6	Cytoplasm
EIPR1	Nucleus
ELAC1	Cytoplasm
ELANE	Extracellular
ELAVL3	Peroxisome
ELF1	Nucleus
ELF2	Nucleus
ELF3	Nucleus
ELF4	Nucleus
ELF5	Nucleus
ELFN1	Cell_membrane
ELFN2	Cell_membrane
ELK3	Nucleus
ELL	Nucleus
ELL2	Nucleus
ELL3	Nucleus
ELMO1	Cytoplasm
ELMO2	Cytoplasm
ELMOD1	Mitochondrion
ELMOD2	Endoplasmic_reticulum
ELMSAN1	Nucleus
ELOA	Nucleus
ELOA2	Nucleus
ELOA3	Nucleus
ELOA3B	Nucleus
ELOA3D	Cytoplasm
ELOB	Nucleus
ELOC	Cytoplasm
ELOF1	Cytoplasm
ELOVL1	Endoplasmic_reticulum
ELOVL2	Endoplasmic_reticulum
ELOVL3	Endoplasmic_reticulum
ELOVL4	Endoplasmic_reticulum
ELOVL6	Endoplasmic_reticulum
ELOVL7	Endoplasmic_reticulum
ELP1	Cytoplasm
ELP2	Cytoplasm
ELP5	Cytoplasm
ELP6	Cytoplasm
ELSPBP1	Extracellular
EMB	Cell_membrane
EMC1	Endoplasmic_reticulum
EMC10	Extracellular
EMC2	Nucleus
EMC3	Endoplasmic_reticulum
EMC6	Endoplasmic_reticulum
EMC7	Endoplasmic_reticulum
EMC8	Cytoplasm
EMC9	Cytoplasm
EMD	Endoplasmic_reticulum
EME1	Nucleus
EME2	Cytoplasm
EMG1	Nucleus
EMILIN2	Extracellular
EML1	Cytoplasm
EML2	Cytoplasm
EML4	Cytoplasm
EML5	Cytoplasm
EML6	Cytoplasm
EMP1	Cell_membrane
EMP2	Cell_membrane
EMP3	Cell_membrane
EMX2	Nucleus
EN1	Nucleus
EN2	Nucleus
ENAH	Cytoplasm
ENAM	Extracellular
ENC1	Cytoplasm
ENDOD1	Endoplasmic_reticulum
ENDOG	Mitochondrion
ENDOU	Extracellular
ENG	Cell_membrane
ENGASE	Nucleus
ENHO	Extracellular
ENKUR	Cytoplasm
ENO2	Cytoplasm
ENO3	Cytoplasm
ENOPH1	Cytoplasm
ENOX1	Nucleus
ENOX2	Cytoplasm
ENPEP	Golgi_apparatus
ENPP1	Cell_membrane
ENPP2	Extracellular
ENPP3	Extracellular
ENPP4	Cell_membrane
ENPP5	Cell_membrane
ENPP6	Cell_membrane
ENSA	Cytoplasm
ENTHD1	Cytoplasm
ENTPD2	Cell_membrane
ENTPD4	Endoplasmic_reticulum
ENTPD5	Extracellular
ENTPD6	Golgi_apparatus
ENTPD7	Endoplasmic_reticulum
ENTPD8	Cell_membrane
ENY2	Cytoplasm
EOGT	Extracellular
EOMES	Nucleus
EP300	Nucleus
EPAS1	Nucleus
EPB41L1	Cytoplasm
EPB41L4A	Nucleus
EPB41L5	Cytoplasm
EPB42	Cytoplasm
EPC1	Nucleus
EPC2	Nucleus
EPCAM	Cell_membrane
EPG5	Cytoplasm
EPHA4	Cell_membrane
EPHA5	Cell_membrane
EPHB2	Cell_membrane
EPHB3	Cell_membrane
EPHX1	Endoplasmic_reticulum
EPHX2	Cytoplasm
EPHX3	Endoplasmic_reticulum
EPHX4	Golgi_apparatus
EPM2AIP1	Golgi_apparatus
EPN2	Nucleus
EPO	Extracellular
EPOP	Nucleus
EPPIN	Extracellular
EPPIN-WFDC6	Extracellular
EPRS	Cytoplasm
EPS15	Cytoplasm
EPS15L1	Cytoplasm
EPS8	Cytoplasm
EPS8L2	Cytoplasm
EPS8L3	Cytoplasm
EPX	Extracellular
EPYC	Extracellular
ERAL1	Mitochondrion
ERAP1	Endoplasmic_reticulum
ERAP2	Endoplasmic_reticulum
ERAS	Cytoplasm
ERBB4	Cell_membrane
ERBIN	Cytoplasm
ERC1	Golgi_apparatus
ERC2	Cytoplasm
ERCC1	Nucleus
ERCC2	Cytoplasm
ERCC3	Nucleus
ERCC6	Nucleus
ERCC6L	Cytoplasm
ERCC8	Nucleus
EREG	Cell_membrane
ERF	Nucleus
ERFE	Extracellular
ERG28	Endoplasmic_reticulum
ERGIC2	Mitochondrion
ERGIC3	Endoplasmic_reticulum
ERH	Nucleus
ERI1	Cytoplasm
ERICH1	Nucleus
ERICH2	Nucleus
ERICH4	Nucleus
ERICH5	Cell_membrane
ERICH6B	Nucleus
ERLEC1	Endoplasmic_reticulum
ERLIN2	Endoplasmic_reticulum
ERMAP	Cell_membrane
ERMARD	Endoplasmic_reticulum
ERMN	Nucleus
ERN2	Endoplasmic_reticulum
ERO1A	Endoplasmic_reticulum
ERP27	Endoplasmic_reticulum
ERP44	Endoplasmic_reticulum
ERRFI1	Nucleus
ERV3-1	Extracellular
ERVFRD-1	Cell_membrane
ERVMER34-1	Cell_membrane
ERVV-1	Cell_membrane
ERVV-2	Cell_membrane
ERVW-1	Cell_membrane
ESCO1	Nucleus
ESCO2	Nucleus
ESD	Cytoplasm
ESF1	Nucleus
ESM1	Extracellular
ESPL1	Cytoplasm
ESPNL	Cytoplasm
ESR1	Nucleus
ESR2	Nucleus
ESRP1	Cytoplasm
ESRP2	Cytoplasm
ESRRA	Nucleus
ESRRB	Nucleus
ESRRG	Nucleus
ESS2	Cytoplasm
ESX1	Nucleus
ESYT1	Cell_membrane
ESYT3	Endoplasmic_reticulum
ETAA1	Cytoplasm
ETF1	Cytoplasm
ETFA	Mitochondrion
ETFBKMT	Mitochondrion
ETFRF1	Mitochondrion
ETHE1	Mitochondrion
ETNK1	Cell_membrane
ETNK2	Cytoplasm
ETS2	Nucleus
ETV2	Nucleus
ETV3L	Nucleus
ETV5	Nucleus
ETV6	Cytoplasm
EVA1A	Cell_membrane
EVA1B	Cell_membrane
EVC	Golgi_apparatus
EVI2A	Cell_membrane
EVI2B	Cell_membrane
EVI5	Cytoplasm
EVI5L	Cytoplasm
EVL	Nucleus
EVPL	Cytoplasm
EVPLL	Cytoplasm
EVX1	Nucleus
EVX2	Nucleus
EWSR1	Nucleus
EXD1	Cytoplasm
EXO1	Cytoplasm
EXO5	Nucleus
EXOC1	Cytoplasm
EXOC2	Cytoplasm
EXOC3L1	Cytoplasm
EXOC3L2	Cytoplasm
EXOC3L4	Cytoplasm
EXOC4	Cytoplasm
EXOC5	Cytoplasm
EXOC6	Cytoplasm
EXOC6B	Nucleus
EXOC8	Cytoplasm
EXOSC1	Cytoplasm
EXOSC10	Nucleus
EXOSC2	Cytoplasm
EXOSC3	Cytoplasm
EXOSC4	Cytoplasm
EXOSC5	Cytoplasm
EXOSC6	Nucleus
EXOSC7	Cytoplasm
EXOSC8	Cytoplasm
EXOSC9	Nucleus
EXT1	Golgi_apparatus
EXTL1	Golgi_apparatus
EXTL2	Golgi_apparatus
EXTL3	Golgi_apparatus
EYA1	Nucleus
EYA2	Nucleus
EYA3	Nucleus
EYA4	Nucleus
EYS	Extracellular
EZH1	Nucleus
EZH2	Nucleus
EZR	Cytoplasm
F10	Extracellular
F11	Extracellular
F11R	Cell_membrane
F12	Extracellular
F13B	Extracellular
F2	Extracellular
F2R	Cell_membrane
F2RL2	Endoplasmic_reticulum
F2RL3	Cell_membrane
F5	Extracellular
F7	Extracellular
F8A1	Nucleus
F8A2	Nucleus
F8A3	Nucleus
F9	Extracellular
FA2H	Endoplasmic_reticulum
FAAH	Endoplasmic_reticulum
FAAH2	Endoplasmic_reticulum
FAAP24	Cytoplasm
FABP1	Cytoplasm
FABP12	Cytoplasm
FABP3	Cytoplasm
FABP4	Cytoplasm
FABP5	Cytoplasm
FABP6	Cytoplasm
FABP7	Cytoplasm
FABP9	Cytoplasm
FADD	Cytoplasm
FADS2	Endoplasmic_reticulum
FADS3	Endoplasmic_reticulum
FAF1	Cytoplasm
FAF2	Cytoplasm
FAHD1	Mitochondrion
FAHD2A	Mitochondrion
FAHD2B	Mitochondrion
FAIM2	Cell_membrane
FAM102A	Cytoplasm
FAM102B	Nucleus
FAM103A1	Nucleus
FAM104A	Nucleus
FAM104B	Nucleus
FAM105A	Endoplasmic_reticulum
FAM109B	Cytoplasm
FAM110A	Cytoplasm
FAM110B	Cytoplasm
FAM110C	Nucleus
FAM110D	Nucleus
FAM111A	Nucleus
FAM111B	Nucleus
FAM114A1	Cytoplasm
FAM114A2	Nucleus
FAM117B	Cytoplasm
FAM118A	Nucleus
FAM118B	Nucleus
FAM120AOS	Nucleus
FAM124A	Nucleus
FAM124B	Cytoplasm
FAM126B	Cytoplasm
FAM129A	Cytoplasm
FAM129B	Cytoplasm
FAM131B	Cell_membrane
FAM131C	Cell_membrane
FAM133A	Nucleus
FAM133B	Nucleus
FAM135A	Cytoplasm
FAM135B	Cytoplasm
FAM136A	Mitochondrion
FAM13C	Nucleus
FAM149B1	Cytoplasm
FAM151A	Golgi_apparatus
FAM151B	Cytoplasm
FAM153A	Nucleus
FAM153B	Cell_membrane
FAM153C	Nucleus
FAM155A	Cell_membrane
FAM156A	Nucleus
FAM156B	Nucleus
FAM159A	Cell_membrane
FAM159B	Cell_membrane
FAM160A1	Cytoplasm
FAM160B1	Cytoplasm
FAM160B2	Cytoplasm
FAM161A	Nucleus
FAM162A	Mitochondrion
FAM162B	Mitochondrion
FAM163A	Extracellular
FAM163B	Cell_membrane
FAM166A	Nucleus
FAM167A	Cytoplasm
FAM167B	Cytoplasm
FAM168A	Nucleus
FAM169A	Nucleus
FAM169B	Cytoplasm
FAM170A	Nucleus
FAM170B	Nucleus
FAM171A1	Cell_membrane
FAM171A2	Cell_membrane
FAM171B	Cell_membrane
FAM173A	Mitochondrion
FAM173B	Mitochondrion
FAM174A	Cell_membrane
FAM174B	Cell_membrane
FAM177B	Nucleus
FAM180A	Extracellular
FAM181A	Nucleus
FAM181B	Nucleus
FAM183A	Nucleus
FAM184B	Cytoplasm
FAM185A	Mitochondrion
FAM186A	Cytoplasm
FAM186B	Cytoplasm
FAM187A	Cell_membrane
FAM187B	Endoplasmic_reticulum
FAM189B	Cell_membrane
FAM192A	Nucleus
FAM193A	Nucleus
FAM196A	Nucleus
FAM196B	Nucleus
FAM198A	Golgi_apparatus
FAM198B	Golgi_apparatus
FAM199X	Nucleus
FAM19A1	Extracellular
FAM19A3	Extracellular
FAM19A4	Extracellular
FAM19A5	Extracellular
FAM200A	Nucleus
FAM200B	Nucleus
FAM204A	Nucleus
FAM205A	Cell_membrane
FAM205C	Cell_membrane
FAM206A	Cytoplasm
FAM207A	Nucleus
FAM208B	Cytoplasm
FAM209A	Extracellular
FAM209B	Extracellular
FAM20A	Golgi_apparatus
FAM20B	Golgi_apparatus
FAM210A	Mitochondrion
FAM210B	Mitochondrion
FAM212B	Nucleus
FAM216A	Nucleus
FAM216B	Mitochondrion
FAM217A	Cytoplasm
FAM217B	Nucleus
FAM218A	Mitochondrion
FAM220A	Nucleus
FAM221A	Cytoplasm
FAM222A	Nucleus
FAM222B	Nucleus
FAM227A	Nucleus
FAM227B	Nucleus
FAM228A	Nucleus
FAM229A	Cytoplasm
FAM229B	Nucleus
FAM231A	Mitochondrion
FAM231B	Mitochondrion
FAM231C	Mitochondrion
FAM234A	Cell_membrane
FAM234B	Cell_membrane
FAM236A	Mitochondrion
FAM236B	Mitochondrion
FAM237A	Extracellular
FAM24A	Extracellular
FAM24B	Extracellular
FAM25A	Cytoplasm
FAM25C	Cytoplasm
FAM25G	Cytoplasm
FAM26E	Cell_membrane
FAM32A	Nucleus
FAM35A	Nucleus
FAM3C	Lysosome/Vacuole
FAM3D	Endoplasmic_reticulum
FAM43A	Nucleus
FAM43B	Nucleus
FAM45A	Cytoplasm
FAM46A	Cytoplasm
FAM46B	Cytoplasm
FAM46C	Cytoplasm
FAM46D	Cytoplasm
FAM47A	Nucleus
FAM47B	Nucleus
FAM47C	Nucleus
FAM47E	Nucleus
FAM49A	Golgi_apparatus
FAM49B	Cytoplasm
FAM50A	Nucleus
FAM50B	Nucleus
FAM53A	Nucleus
FAM53B	Nucleus
FAM53C	Nucleus
FAM57A	Endoplasmic_reticulum
FAM57B	Endoplasmic_reticulum
FAM58A	Cytoplasm
FAM71A	Nucleus
FAM71B	Nucleus
FAM71C	Cytoplasm
FAM71D	Cytoplasm
FAM71E1	Nucleus
FAM71E2	Nucleus
FAM71F1	Nucleus
FAM71F2	Nucleus
FAM72A	Nucleus
FAM72B	Nucleus
FAM72C	Nucleus
FAM72D	Nucleus
FAM76A	Nucleus
FAM76B	Nucleus
FAM78A	Extracellular
FAM78B	Cell_membrane
FAM81A	Cytoplasm
FAM83A	Nucleus
FAM83B	Cytoplasm
FAM83C	Cytoplasm
FAM83D	Cytoplasm
FAM83E	Cytoplasm
FAM83F	Cytoplasm
FAM83H	Cytoplasm
FAM84B	Nucleus
FAM86B1	Cytoplasm
FAM86B2	Cytoplasm
FAM89A	Nucleus
FAM8A1	Endoplasmic_reticulum
FAM90A1	Nucleus
FAM91A1	Cytoplasm
FAM92B	Cytoplasm
FAM96A	Cytoplasm
FAM96B	Cytoplasm
FAM98C	Nucleus
FAM9A	Nucleus
FAM9B	Nucleus
FAM9C	Nucleus
FAN1	Nucleus
FANCB	Cytoplasm
FANCC	Cytoplasm
FANCD2	Nucleus
FANCD2OS	Mitochondrion
FANCE	Nucleus
FANCF	Mitochondrion
FANCG	Cytoplasm
FANCL	Cytoplasm
FANK1	Cytoplasm
FAR1	Endoplasmic_reticulum
FARP1	Cytoplasm
FARP2	Cytoplasm
FARS2	Mitochondrion
FARSA	Cytoplasm
FARSB	Cytoplasm
FASLG	Cell_membrane
FASN	Cytoplasm
FASTKD1	Mitochondrion
FASTKD2	Mitochondrion
FASTKD3	Mitochondrion
FASTKD5	Mitochondrion
FAT1	Cell_membrane
FAT2	Cell_membrane
FAT4	Cell_membrane
FATE1	Endoplasmic_reticulum
FAXDC2	Endoplasmic_reticulum
FBF1	Cytoplasm
FBL	Nucleus
FBLIM1	Cytoplasm
FBLL1	Nucleus
FBLN1	Extracellular
FBLN2	Extracellular
FBLN5	Extracellular
FBN2	Extracellular
FBN3	Extracellular
FBP1	Cytoplasm
FBP2	Cytoplasm
FBRS	Nucleus
FBRSL1	Nucleus
FBXL12	Mitochondrion
FBXL13	Cytoplasm
FBXL14	Cytoplasm
FBXL15	Cytoplasm
FBXL16	Cytoplasm
FBXL19	Nucleus
FBXL2	Cytoplasm
FBXL20	Cytoplasm
FBXL22	Cytoplasm
FBXL3	Nucleus
FBXL4	Endoplasmic_reticulum
FBXL5	Cytoplasm
FBXL7	Cytoplasm
FBXL8	Cytoplasm
FBXO16	Nucleus
FBXO17	Mitochondrion
FBXO18	Nucleus
FBXO2	Cytoplasm
FBXO21	Cytoplasm
FBXO24	Nucleus
FBXO25	Nucleus
FBXO27	Cytoplasm
FBXO28	Nucleus
FBXO30	Nucleus
FBXO32	Nucleus
FBXO33	Mitochondrion
FBXO34	Nucleus
FBXO38	Nucleus
FBXO39	Cytoplasm
FBXO4	Cytoplasm
FBXO40	Nucleus
FBXO41	Cytoplasm
FBXO42	Nucleus
FBXO43	Nucleus
FBXO44	Cytoplasm
FBXO45	Cytoplasm
FBXO46	Nucleus
FBXO48	Nucleus
FBXO5	Nucleus
FBXO6	Cytoplasm
FBXW10	Cytoplasm
FBXW12	Cytoplasm
FBXW2	Cytoplasm
FBXW4	Cytoplasm
FBXW5	Cytoplasm
FBXW8	Nucleus
FCER1A	Cell_membrane
FCER1G	Cell_membrane
FCER2	Cell_membrane
FCF1	Nucleus
FCGR1A	Cell_membrane
FCGR2A	Cell_membrane
FCGR2B	Cell_membrane
FCGR3A	Cell_membrane
FCGRT	Cell_membrane
FCHO1	Cytoplasm
FCHO2	Cytoplasm
FCHSD2	Cytoplasm
FCN1	Extracellular
FCN2	Extracellular
FCN3	Extracellular
FCRL4	Cell_membrane
FCRL6	Cell_membrane
FCRLB	Extracellular
FDCSP	Extracellular
FDFT1	Endoplasmic_reticulum
FDX1	Mitochondrion
FDXACB1	Cytoplasm
FECH	Mitochondrion
FEM1A	Cytoplasm
FEM1B	Cytoplasm
FEM1C	Cytoplasm
FEN1	Nucleus
FER1L5	Endoplasmic_reticulum
FER1L6	Endoplasmic_reticulum
FERD3L	Nucleus
FERMT2	Nucleus
FERMT3	Cytoplasm
FES	Cytoplasm
FETUB	Extracellular
FEV	Nucleus
FEZ2	Cytoplasm
FEZF1	Nucleus
FEZF2	Nucleus
FFAR1	Cell_membrane
FFAR2	Cell_membrane
FFAR3	Cell_membrane
FFAR4	Cell_membrane
FGA	Extracellular
FGB	Extracellular
FGD1	Cytoplasm
FGD3	Nucleus
FGD5	Nucleus
FGD6	Nucleus
FGF1	Cytoplasm
FGF10	Extracellular
FGF11	Nucleus
FGF16	Peroxisome
FGF17	Extracellular
FGF18	Extracellular
FGF19	Extracellular
FGF21	Extracellular
FGF22	Mitochondrion
FGF23	Extracellular
FGF3	Extracellular
FGF4	Extracellular
FGF5	Extracellular
FGF6	Endoplasmic_reticulum
FGF7	Extracellular
FGF8	Extracellular
FGF9	Cytoplasm
FGFBP1	Extracellular
FGFBP2	Extracellular
FGFBP3	Extracellular
FGFR1OP2	Cytoplasm
FGFRL1	Cell_membrane
FGG	Extracellular
FGL1	Extracellular
FGL2	Extracellular
FGR	Cell_membrane
FHAD1	Cytoplasm
FHDC1	Cytoplasm
FHIT	Mitochondrion
FHL3	Cytoplasm
FHL5	Nucleus
FHOD1	Cytoplasm
FHOD3	Cytoplasm
FIBIN	Extracellular
FIBP	Cytoplasm
FICD	Endoplasmic_reticulum
FIG4	Cytoplasm
FIGLA	Nucleus
FIGN	Nucleus
FIGNL1	Cytoplasm
FIGNL2	Nucleus
FILIP1	Cytoplasm
FIP1L1	Nucleus
FIS1	Mitochondrion
FITM1	Endoplasmic_reticulum
FITM2	Endoplasmic_reticulum
FIZ1	Nucleus
FJX1	Extracellular
FKBP14	Endoplasmic_reticulum
FKBP1A	Cytoplasm
FKBP1B	Cytoplasm
FKBP2	Extracellular
FKBP3	Cytoplasm
FKBP4	Cytoplasm
FKBP5	Cytoplasm
FKBP6	Cytoplasm
FKBP8	Mitochondrion
FKBPL	Cytoplasm
FKRP	Golgi_apparatus
FKTN	Golgi_apparatus
FLG	Nucleus
FLG2	Nucleus
FLI1	Nucleus
FLII	Nucleus
FLNA	Cytoplasm
FLNB	Cytoplasm
FLNC	Cytoplasm
FLOT1	Cytoplasm
FLOT2	Cell_membrane
FLRT2	Cell_membrane
FLRT3	Cell_membrane
FLT3	Cell_membrane
FLVCR1	Cell_membrane
FLVCR2	Cell_membrane
FLYWCH1	Nucleus
FLYWCH2	Cytoplasm
FMNL1	Cytoplasm
FMO1	Cell_membrane
FMO3	Endoplasmic_reticulum
FMO4	Peroxisome
FMOD	Extracellular
FMR1NB	Cell_membrane
FN1	Extracellular
FN3K	Mitochondrion
FN3KRP	Peroxisome
FNBP1	Cytoplasm
FNBP1L	Cytoplasm
FNBP4	Nucleus
FNDC1	Extracellular
FNDC10	Cell_membrane
FNDC11	Nucleus
FNDC3A	Cell_membrane
FNDC4	Cell_membrane
FNDC7	Extracellular
FNDC8	Cytoplasm
FNDC9	Cell_membrane
FNIP1	Cytoplasm
FNIP2	Cytoplasm
FNTA	Cytoplasm
FNTB	Cytoplasm
FOLR1	Cell_membrane
FOLR2	Cell_membrane
FOS	Nucleus
FOSB	Nucleus
FOSL2	Nucleus
FOXA1	Nucleus
FOXA2	Nucleus
FOXA3	Nucleus
FOXB1	Nucleus
FOXB2	Nucleus
FOXC1	Nucleus
FOXC2	Nucleus
FOXD1	Nucleus
FOXD2	Nucleus
FOXD3	Nucleus
FOXD4	Nucleus
FOXD4L1	Nucleus
FOXD4L3	Nucleus
FOXD4L4	Nucleus
FOXD4L5	Nucleus
FOXD4L6	Nucleus
FOXE1	Nucleus
FOXE3	Nucleus
FOXF1	Nucleus
FOXF2	Nucleus
FOXG1	Nucleus
FOXH1	Nucleus
FOXI1	Nucleus
FOXI2	Nucleus
FOXI3	Nucleus
FOXJ1	Nucleus
FOXJ2	Nucleus
FOXJ3	Nucleus
FOXK1	Nucleus
FOXK2	Nucleus
FOXL1	Nucleus
FOXL2	Nucleus
FOXL2NB	Nucleus
FOXM1	Nucleus
FOXN1	Nucleus
FOXN2	Nucleus
FOXN3	Nucleus
FOXN4	Nucleus
FOXO1	Cytoplasm
FOXO4	Nucleus
FOXO6	Nucleus
FOXP1	Nucleus
FOXP3	Nucleus
FOXP4	Nucleus
FOXQ1	Nucleus
FOXR1	Nucleus
FOXR2	Nucleus
FOXS1	Nucleus
FPR1	Cell_membrane
FPR2	Cell_membrane
FPR3	Cell_membrane
FRA10AC1	Nucleus
FRAT1	Cytoplasm
FRAT2	Nucleus
FREM3	Endoplasmic_reticulum
FRG1	Nucleus
FRG2	Nucleus
FRG2B	Nucleus
FRG2C	Nucleus
FRK	Cytoplasm
FRMD1	Cytoplasm
FRMD4A	Cytoplasm
FRMD4B	Cytoplasm
FRMD5	Endoplasmic_reticulum
FRMD6	Nucleus
FRMD7	Cytoplasm
FRMD8	Cytoplasm
FRMPD1	Cytoplasm
FRMPD3	Cytoplasm
FRMPD4	Cytoplasm
FRRS1L	Cell_membrane
FRS2	Cell_membrane
FRS3	Cell_membrane
FRY	Cytoplasm
FRZB	Extracellular
FSBP	Nucleus
FSCB	Cytoplasm
FSCN1	Cytoplasm
FSCN2	Cytoplasm
FSD1	Cytoplasm
FSD2	Cytoplasm
FSHB	Extracellular
FSIP1	Cytoplasm
FSIP2	Cytoplasm
FST	Extracellular
FSTL1	Endoplasmic_reticulum
FSTL4	Extracellular
FSTL5	Extracellular
FTCDNL1	Cell_membrane
FTH1	Cytoplasm
FTHL17	Cytoplasm
FTL	Cytoplasm
FTMT	Mitochondrion
FTSJ1	Cytoplasm
FTSJ3	Nucleus
FUBP1	Nucleus
FUBP3	Cytoplasm
FUCA1	Lysosome/Vacuole
FUK	Cytoplasm
FUNDC1	Mitochondrion
FUNDC2	Mitochondrion
FUOM	Cytoplasm
FURIN	Cell_membrane
FUS	Nucleus
FUT1	Golgi_apparatus
FUT11	Extracellular
FUT4	Cell_membrane
FUT6	Golgi_apparatus
FUT7	Golgi_apparatus
FUT9	Golgi_apparatus
FUZ	Peroxisome
FXN	Mitochondrion
FXR2	Cytoplasm
FXYD1	Cell_membrane
FXYD2	Cell_membrane
FXYD4	Extracellular
FXYD5	Cell_membrane
FXYD6	Cell_membrane
FXYD7	Cell_membrane
FYB1	Cytoplasm
FYCO1	Cytoplasm
FYTTD1	Nucleus
FZD1	Cell_membrane
FZD10	Cell_membrane
FZD2	Cell_membrane
FZD3	Cell_membrane
FZD4	Cell_membrane
FZD5	Cell_membrane
FZD6	Cell_membrane
FZD7	Cell_membrane
FZD8	Cell_membrane
FZD9	Cell_membrane
FZR1	Nucleus
G0S2	Mitochondrion
G2E3	Nucleus
G3BP2	Nucleus
G6PC	Endoplasmic_reticulum
G6PC3	Endoplasmic_reticulum
GAA	Lysosome/Vacuole
GAB1	Cytoplasm
GAB2	Cytoplasm
GAB3	Cytoplasm
GAB4	Cytoplasm
GABARAP	Nucleus
GABARAPL1	Cytoplasm
GABARAPL2	Cytoplasm
GABBR2	Cell_membrane
GABPA	Nucleus
GABPB1	Cytoplasm
GABPB2	Cytoplasm
GABRA1	Cell_membrane
GABRA2	Cell_membrane
GABRA3	Cell_membrane
GABRA4	Cell_membrane
GABRA5	Cell_membrane
GABRA6	Cell_membrane
GABRB2	Cell_membrane
GABRB3	Cell_membrane
GABRD	Cell_membrane
GABRE	Cell_membrane
GABRG1	Cell_membrane
GABRG2	Cell_membrane
GABRP	Cell_membrane
GABRR3	Cell_membrane
GAD1	Cytoplasm
GAD2	Cytoplasm
GADD45B	Cytoplasm
GADD45G	Cytoplasm
GADD45GIP1	Mitochondrion
GADL1	Cytoplasm
GAGE1	Mitochondrion
GAGE12C	Mitochondrion
GAGE12D	Mitochondrion
GAGE12E	Mitochondrion
GAGE12F	Mitochondrion
GAGE12G	Mitochondrion
GAGE12H	Mitochondrion
GAGE2A	Cytoplasm
GAK	Cytoplasm
GAL	Extracellular
GAL3ST1	Golgi_apparatus
GAL3ST2	Golgi_apparatus
GAL3ST3	Golgi_apparatus
GALE	Cytoplasm
GALK1	Cytoplasm
GALK2	Cytoplasm
GALM	Cytoplasm
GALNS	Extracellular
GALNT11	Golgi_apparatus
GALNT13	Golgi_apparatus
GALNT15	Golgi_apparatus
GALNT16	Golgi_apparatus
GALNT17	Golgi_apparatus
GALNT18	Golgi_apparatus
GALNT3	Golgi_apparatus
GALNT4	Golgi_apparatus
GALNT5	Golgi_apparatus
GALNT6	Golgi_apparatus
GALNT7	Golgi_apparatus
GALNT8	Golgi_apparatus
GALP	Extracellular
GALR1	Cell_membrane
GALR2	Cell_membrane
GALR3	Cell_membrane
GAMT	Cytoplasm
GAN	Cytoplasm
GANC	Cytoplasm
GAPDH	Cytoplasm
GAPDHS	Cytoplasm
GAPT	Cell_membrane
GAPVD1	Cytoplasm
GAR1	Nucleus
GAREM1	Cytoplasm
GARS	Mitochondrion
GART	Cytoplasm
GAS1	Cell_membrane
GAS2L2	Cytoplasm
GAS2L3	Cytoplasm
GAS7	Cytoplasm
GAS8	Cytoplasm
GAST	Extracellular
GATA1	Nucleus
GATA2	Nucleus
GATA3	Nucleus
GATA4	Nucleus
GATA5	Nucleus
GATA6	Nucleus
GATAD1	Nucleus
GATAD2A	Nucleus
GATAD2B	Nucleus
GATB	Mitochondrion
GATC	Mitochondrion
GATS	Nucleus
GBA2	Cytoplasm
GBE1	Cytoplasm
GBF1	Cytoplasm
GBGT1	Golgi_apparatus
GBP1	Cytoplasm
GBP2	Cytoplasm
GBP3	Cytoplasm
GBP4	Cytoplasm
GBP5	Cytoplasm
GBP6	Cytoplasm
GBP7	Cytoplasm
GBX1	Nucleus
GBX2	Nucleus
GCA	Cytoplasm
GCAT	Mitochondrion
GCC1	Cytoplasm
GCDH	Mitochondrion
GCFC2	Nucleus
GCG	Extracellular
GCGR	Cell_membrane
GCH1	Cytoplasm
GCK	Cytoplasm
GCLC	Nucleus
GCLM	Mitochondrion
GCM1	Nucleus
GCM2	Nucleus
GCNA	Nucleus
GCNT1	Golgi_apparatus
GCNT3	Endoplasmic_reticulum
GCNT4	Endoplasmic_reticulum
GCSAM	Nucleus
GCSAML	Nucleus
GCSH	Mitochondrion
GDA	Cytoplasm
GDAP1	Mitochondrion
GDAP2	Cytoplasm
GDE1	Endoplasmic_reticulum
GDF1	Extracellular
GDF10	Extracellular
GDF11	Extracellular
GDF15	Extracellular
GDF2	Extracellular
GDF3	Extracellular
GDF6	Extracellular
GDF7	Extracellular
GDF9	Extracellular
GDI1	Cytoplasm
GDI2	Cytoplasm
GDPD1	Endoplasmic_reticulum
GDPGP1	Cytoplasm
GEM	Nucleus
GEMIN4	Cytoplasm
GEMIN5	Nucleus
GEMIN6	Cytoplasm
GEMIN7	Cytoplasm
GEMIN8	Mitochondrion
GEN1	Nucleus
GET4	Cytoplasm
GFAP	Cytoplasm
GFI1	Nucleus
GFI1B	Nucleus
GFM1	Mitochondrion
GFOD2	Cytoplasm
GFPT1	Cytoplasm
GFPT2	Cytoplasm
GFRA1	Cell_membrane
GFRA2	Cell_membrane
GFRA3	Cell_membrane
GFRAL	Cell_membrane
GFY	Cell_membrane
GGA1	Cytoplasm
GGA2	Cytoplasm
GGACT	Mitochondrion
GGCX	Endoplasmic_reticulum
GGH	Extracellular
